"timestamp","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.WAP","SPY.hasGaps","SPY.Count"
"2004-01-23 15:30:00",115,115.16,114.86,115,30361,115.034,0,2508
"2004-01-23 16:00:00",115.01,115.37,114.88,114.94,42468,115.161,0,4189
"2004-01-23 17:00:00",114.93,115.07,114.79,115.01,37091,114.916,0,2656
"2004-01-23 18:00:00",115,115,114.43,114.55,31470,114.681,0,2806
"2004-01-23 19:00:00",114.54,114.67,114.3,114.31,32217,114.545,0,2231
"2004-01-23 20:00:00",114.31,114.52,114.17,114.4,31039,114.322,0,3084
"2004-01-23 21:00:00",114.38,114.45,113.95,114.36,71962,114.239,0,4366
"2004-01-23 22:00:00",114.39,114.51,114.3,114.45,6089,114.411,0,283
"2004-01-26 15:30:00",114.39,114.78,114.39,114.67,44220,114.583,0,2448
"2004-01-26 16:00:00",114.68,114.8,114.43,114.7,41057,114.587,0,3178
"2004-01-26 17:00:00",114.71,114.79,114.4,114.6,41261,114.532,0,2743
"2004-01-26 18:00:00",114.61,114.75,114.47,114.67,10757,114.645,0,1610
"2004-01-26 19:00:00",114.67,114.87,114.61,114.69,19319,114.741,0,1970
"2004-01-26 20:00:00",114.69,115.32,114.68,115.32,37315,115.094,0,3184
"2004-01-26 21:00:00",115.32,115.91,115.28,115.8,74248,115.631,0,4425
"2004-01-26 22:00:00",115.81,115.93,115.81,115.87,8588,115.869,0,262
"2004-01-27 15:30:00",115.75,116.5,115.58,115.73,28537,115.742,0,2133
"2004-01-27 16:00:00",115.73,115.85,115.55,115.61,51042,115.701,0,3708
"2004-01-27 17:00:00",115.58,115.67,115.31,115.35,37731,115.441,0,2973
"2004-01-27 18:00:00",115.34,115.35,115.06,115.13,37189,115.143,0,2401
"2004-01-27 19:00:00",115.15,115.19,114.75,115.04,41713,114.945,0,3313
"2004-01-27 20:00:00",115.05,115.16,114.79,114.97,30693,115.028,0,2689
"2004-01-27 21:00:00",114.97,115.1,114.7,114.73,52251,114.863,0,3935
"2004-01-27 22:00:00",114.7,114.77,114.65,114.7,9376,114.715,0,328
"2004-01-28 15:30:00",114.98,115.14,114.95,115.1,28362,115.065,0,2022
"2004-01-28 16:00:00",115.11,115.27,114.95,115.19,38461,115.129,0,2833
"2004-01-28 17:00:00",115.2,115.28,115.05,115.15,22984,115.163,0,2497
"2004-01-28 18:00:00",115.15,115.17,115.02,115.08,13578,115.078,0,1394
"2004-01-28 19:00:00",115.07,115.23,115.02,115.16,18168,115.128,0,1466
"2004-01-28 20:00:00",115.14,115.2,113.46,113.9,191875,114.173,0,10533
"2004-01-28 21:00:00",113.88,114.03,112.94,113.25,143360,113.382,0,8584
"2004-01-28 22:00:00",113.26,113.4,113.24,113.37,7453,113.306,0,367
"2004-02-02 15:30:00",113.7,113.89,113.59,113.82,29444,113.748,0,2553
"2004-02-02 16:00:00",113.81,113.82,113.13,113.16,81082,113.404,0,5820
"2004-02-02 17:00:00",113.22,114.11,113.12,114.08,45560,113.56,0,3420
"2004-02-02 18:00:00",114.07,114.68,113.26,114.53,50315,114.272,0,4033
"2004-02-02 19:00:00",114.52,114.64,114.38,114.5,25942,114.505,0,2654
"2004-02-02 20:00:00",114.5,114.57,114.32,114.49,26313,114.449,0,2785
"2004-02-02 21:00:00",114.5,114.57,113.35,113.83,90032,113.79,0,5927
"2004-02-02 22:00:00",113.84,113.97,113.8,113.93,11975,113.88,0,496
"2004-02-03 15:30:00",113.74,113.95,113.44,113.84,40814,113.653,0,2355
"2004-02-03 16:00:00",113.84,114.02,113.5,113.9,47652,113.832,0,3604
"2004-02-03 17:00:00",113.91,114,113.64,113.73,26593,113.876,0,2830
"2004-02-03 18:00:00",113.72,114.1,113.68,114.01,16340,113.948,0,1585
"2004-02-03 19:00:00",114.01,114.14,113.87,113.98,12516,113.991,0,1250
"2004-02-03 20:00:00",113.97,114.07,113.57,113.81,37072,113.789,0,2963
"2004-02-03 21:00:00",113.79,114,113.76,113.95,33193,113.895,0,3113
"2004-02-03 22:00:00",113.98,114.03,113.78,113.78,19299,113.952,0,532
"2004-02-04 15:30:00",113.19,113.4,113.14,113.21,36077,113.251,0,1941
"2004-02-04 16:00:00",113.22,113.73,112.95,113.6,96692,113.398,0,6630
"2004-02-04 17:00:00",113.6,113.69,113.36,113.47,30036,113.531,0,3004
"2004-02-04 18:00:00",113.47,113.67,113.41,113.5,20022,113.563,0,1956
"2004-02-04 19:00:00",113.51,113.67,113.22,113.25,32116,113.486,0,2434
"2004-02-04 20:00:00",113.24,113.94,112.79,112.96,76696,112.994,0,6724
"2004-02-04 21:00:00",112.95,113.37,112.89,113.03,59032,113.153,0,5858
"2004-02-04 22:00:00",113.04,113.94,112.85,112.89,16475,112.98,0,454
"2004-02-05 15:30:00",113.17,113.33,112.97,113.05,43282,113.156,0,2389
"2004-02-05 16:00:00",113.07,113.26,112.93,112.97,40428,113.094,0,4061
"2004-02-05 17:00:00",112.98,113.08,112.78,112.96,46583,112.919,0,3488
